accession,norm int m/z_126.127725,norm int m/z_127.12476,norm int m/z_128.134433,norm int m/z_129.131468,norm int m/z_130.141141,norm int m/z_131.138176,norm int m/z_126.127725_2,norm int m/z_127.12476_2,norm int m/z_128.134433_2,norm int m/z_129.131468_2,norm int m/z_130.141141_2,norm int m/z_131.138176_2
Q8WUM4,18.454321385682587,19.575937113388687,18.395504848830583,18.593631843688605,18.632860335647656,18.49585697824579,18.389169164585887,19.221869106073846,18.23465607296642,18.4623125453411,18.55401544272145,18.379843688437155
Q92614,18.693073081626956,18.700727561922836,18.664092372805847,18.67174698545471,18.772089006302803,18.599992725030326,18.798796100174265,18.838352209175785,18.81907668359029,18.864638820540392,18.724420590785176,18.77920796381428
Q6ZP82,18.867897670226633,18.87205077969394,18.86176179947204,18.870584464336478,18.845529254081317,18.990126128987146,18.885706798431887,18.785604124525104,18.82334002628755,18.804741565047593,18.760941616171248,18.87199996193275
O75369,19.60363630491366,19.764887250292183,19.486709011948705,20.30430396819356,20.18673268471781,20.07605965131499,19.049134069449234,19.287846341089566,19.005398973408692,19.642696160910155,19.58845217544045,19.461171378861287
P23634,17.582520574727212,17.645225677195974,17.436532625408407,17.693493763675907,17.712903101042897,17.582722695391944,17.4348454071251,17.339261370245996,17.285010839807434,17.520311743755155,17.56251321721067,17.428199277192846
P98174,19.71933533926274,19.73339522276758,19.852004416771482,19.74894214736628,19.694669049056422,19.766139027526865,,,,,,
P39060,19.410386133602152,19.32622702844193,19.339748355433937,19.541073921771698,19.6768734623243,19.621989240858507,,,,,,
Q9ULI0,18.83660825071781,18.775078134824334,18.476934042627434,18.93423508937858,18.938897567674935,18.836595923862863,,,,,,
Q92620,19.811086929894376,20.008689173296055,19.81174548677296,19.716981017466345,19.461196643987627,19.425443355751458,19.540439302609027,19.703768422569983,19.4739157786046,19.457397913816838,19.204409949605928,19.19802171526373
Q9Y6N6,17.833017734775872,18.032228721948346,17.869210239027485,17.758878179834767,17.67497151250518,17.696680085698887,,,,,,
Q9GZR1,17.379149881647916,17.100092514690857,17.43402953222779,16.87529939880993,17.34534460179595,16.906268205213838,,,,,,
