,Prosser_1383_Control.txt,Prosser_1195_Disease.txt,Prosser_1427_Disease.txt,Prosser_1136_Disease.txt,Prosser_1325_Control.txt,Prosser_1467_Disease.txt,Prosser_1119_Disease.txt,Prosser_1085_Control.txt,Prosser_1198_Disease.txt,Prosser_1228_Disease.txt,Prosser_1288_Disease.txt,Prosser_1146_Disease.txt,Prosser_1425_Disease.txt,Prosser_1200_Control.txt,Prosser_1605_Disease.txt,Prosser_1273_Control.txt,Prosser_1311_Disease.txt,Prosser_1510_Disease.txt,Prosser_1375_Disease.txt,Prosser_1205_Disease.txt,Prosser_1366_Disease.txt,Prosser_1290_Disease.txt,Prosser_1462_Disease.txt,Prosser_1535_Disease.txt,Prosser_1339_Control.txt,Prosser_1004_Disease.txt,Prosser_1602_Disease.txt,Prosser_1356_Control.txt,Prosser_1320_Disease.txt,Prosser_1209_Disease.txt,Prosser_1379_Disease.txt,Prosser_1304_Disease.txt,Prosser_1472_Disease.txt,Prosser_1086_Disease.txt
P07823,7,7,8,9,5,5,8,4,7,6,6,10,3,9,5,10,6,6,6,8,8,9,3,7,10,6,5,7,6,5,6,7,5,9
P01019,4,3,2,3,3,3,3,3,3,2,3,3,3,7,,2,4,2,6,3,,,,2,4,7,3,3,2,2,2,2,2,2
Q13228,8,3,4,6,4,3,4,3,5,2,4,5,5,5,3,5,5,,5,4,5,3,4,5,6,4,4,5,2,4,,4,,4
O75208,2,2,4,,2,2,3,,2,2,,4,,3,,3,2,,3,2,2,2,,,,3,2,2,,,,,,4
O14558,2,,,6,2,3,4,2,6,2,,3,2,,4,,6,3,5,4,13,3,2,3,2,7,,4,,3,2,,3,5
O60313,8,10,13,12,12,13,12,14,10,15,12,9,9,12,11,13,10,13,12,17,11,13,9,6,10,7,12,11,8,14,13,10,11,12
O75489,2,4,4,3,2,3,4,,4,,3,5,,5,2,7,4,3,4,6,5,,,3,2,3,2,3,,2,3,3,,7
P01024,15,29,19,20,17,20,13,13,17,15,13,18,11,14,15,13,26,17,22,13,11,16,19,14,19,29,12,16,24,19,16,18,17,30
O43242,4,5,2,3,5,6,6,5,9,6,4,6,4,4,3,3,4,3,3,6,,6,4,3,3,3,6,5,2,4,6,3,,5
Q16851,4,3,2,3,2,4,2,2,2,2,2,2,2,2,2,3,2,3,,3,7,,4,4,5,3,4,3,4,2,3,4,3,3
Q8NB12,7,6,5,7,3,7,6,8,3,6,6,7,6,10,6,4,11,7,7,9,11,8,10,7,10,6,8,8,8,6,6,8,7,6
O43488,2,4,2,2,,,2,,3,,,3,,2,,3,,,3,2,,,2,,,,,2,4,2,,,,2
Q5TC12,2,2,2,,,,,,2,,,2,,2,,,2,,2,2,,,,,,2,,,,2,,,,2
P45379,7,9,11,10,5,6,8,5,5,6,6,10,9,8,3,7,11,8,10,9,11,8,,5,4,8,6,8,6,4,6,8,4,6
Q08257,2,,,4,3,2,2,4,2,4,,,2,4,3,2,,3,2,,,,3,,3,3,2,,,3,2,4,2,2
Q53GQ0,2,,,,,2,3,,,,,2,,2,,,2,,,,,2,,,,,,,,2,,,,2
Q9H845,4,2,6,2,5,4,5,8,5,5,7,3,3,10,5,5,2,7,5,5,4,3,5,6,6,3,3,2,2,5,5,8,2,6
P31939,5,4,,5,2,2,3,2,5,3,4,3,,6,,3,2,2,3,2,4,3,4,2,,2,,2,,3,2,3,,3
O75323,4,3,,2,,2,3,3,,,4,,2,4,2,3,2,2,,,5,2,4,2,2,2,2,3,,5,5,2,3,
Q02878,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,2,,
Q9HCP6,4,,2,,3,2,5,3,2,4,3,4,2,4,3,4,5,4,2,3,4,4,5,3,3,,2,5,2,5,2,2,4,4
P24298,6,,4,3,4,2,5,3,4,2,,,,8,,3,,2,4,,,2,,,,,2,4,,4,,,,
P49189,6,6,6,5,5,3,8,3,6,4,3,7,,6,3,5,9,4,7,7,4,3,5,5,4,3,3,4,3,6,4,5,3,6
P13716,3,6,5,5,3,3,4,2,4,,2,5,,6,3,6,3,2,5,5,2,,3,,2,2,2,3,3,3,,,2,7
O00764,5,5,2,4,,,,3,,,,2,,4,3,6,3,,4,3,6,,,,5,6,2,8,,,2,,,3
P35221,7,5,7,7,8,6,6,8,6,6,6,10,8,9,6,6,7,8,8,6,8,8,7,6,7,6,7,10,4,8,7,5,6,6
Q92523,12,9,4,6,4,6,8,7,8,7,6,9,7,3,5,8,5,5,8,8,5,4,9,8,8,2,6,7,4,7,5,7,4,5
P21397,5,5,4,6,2,5,2,3,5,,3,6,,4,,5,5,4,6,3,7,4,2,4,4,5,,5,,4,4,4,5,4
Q99729,2,2,2,,,,2,2,3,,,,,2,,2,2,,3,2,2,,,,2,2,,3,2,,,,,2
Q8IWX7,5,8,5,11,7,11,8,11,8,11,7,13,6,10,8,6,11,7,6,16,8,9,7,8,9,4,7,7,7,6,11,11,11,11
P11182,6,3,5,4,,,6,2,5,2,,6,,6,,6,4,,6,6,5,2,4,,2,3,,7,3,6,,2,,3
P36957,6,6,7,8,11,9,8,9,8,6,11,11,6,9,5,8,8,6,7,5,8,6,7,7,8,7,7,6,6,7,9,7,8,8
Q15084,5,5,7,7,3,2,6,4,6,6,5,6,,5,3,5,5,3,5,8,7,6,6,,5,8,2,7,3,4,4,5,2,4
P02750,4,4,2,3,2,3,3,2,2,,,3,2,4,,3,,,7,4,4,2,4,,4,2,,3,3,,4,,2,4
P27338,5,,5,5,3,5,4,2,4,8,5,6,6,4,5,5,7,5,6,4,9,7,3,5,4,3,5,8,3,4,5,5,7,6
P28838,4,13,7,11,2,3,7,7,10,7,5,10,5,7,3,9,11,4,9,10,6,3,5,7,4,12,4,8,5,8,4,3,5,10
Q3ZCQ8,3,,,,3,2,,,,,,,2,,,,,,,,3,,4,,3,,,3,,4,3,,,
Q9UI47,6,4,5,3,3,3,2,3,5,5,5,4,4,6,4,4,8,5,7,6,2,7,3,3,4,2,5,4,2,4,5,4,2,4
P13639,7,7,4,9,8,8,8,9,9,8,7,7,8,12,6,9,10,7,7,11,8,8,6,9,17,4,7,10,8,6,8,6,7,7
O75112,11,16,17,15,9,12,13,8,22,8,10,16,8,17,11,17,16,11,17,15,14,10,11,10,7,18,10,16,15,13,9,12,11,15
P55809,7,5,9,11,4,7,8,6,11,8,7,9,6,8,4,7,12,10,8,6,10,7,10,5,10,8,8,9,4,11,9,9,7,6
P07585,4,6,3,7,4,2,3,2,2,2,3,4,4,5,2,7,5,2,4,3,3,,,,4,5,5,4,7,,5,3,2,5
O14561,3,3,,,,,3,,3,,,4,,,,3,,,,,3,2,,,,4,,3,,,,,,4
P04843,4,2,2,,3,,,3,,4,3,3,2,,2,2,2,5,,3,,2,3,2,4,,4,,3,3,2,4,3,
P07339,4,5,5,5,5,3,2,6,3,3,5,5,3,4,2,4,2,3,3,3,4,3,4,2,5,2,2,2,2,5,4,4,3,4
P11177,3,2,,,2,2,,,,2,2,2,2,,2,2,,2,,2,2,2,,2,3,2,2,2,2,3,2,2,2,
P51884,3,11,7,6,2,7,4,,6,5,3,2,3,5,2,6,8,6,6,5,7,3,7,,3,10,3,5,6,8,5,4,3,8
Q9UHQ9,2,2,,3,2,,2,2,,2,4,3,,,3,,,4,,4,3,4,3,,3,,2,4,2,3,2,4,4,2
O43772,2,,,,,,,2,,,,4,,,3,3,3,,3,,3,,2,,,,2,2,,2,,,2,2
Q9HCC0,5,6,6,5,5,6,7,6,8,4,6,7,,7,5,6,6,6,7,6,7,6,4,5,8,2,4,4,4,4,5,5,4,6
P22307,4,4,4,3,,,5,2,4,2,,6,2,6,,7,,2,4,4,6,2,,2,,6,2,3,2,2,,2,3,4
O95747,3,,,,2,,3,,,3,,2,,,,,,,,,2,3,,,,,,,2,3,,2,,
P16671,7,6,4,7,8,3,4,6,5,14,7,4,4,6,2,6,3,11,,4,5,10,4,7,6,5,6,5,6,5,10,5,6,3
Q15118,2,5,2,,2,3,2,2,,2,3,3,2,3,2,3,3,4,,2,,,2,2,3,2,2,4,,2,3,3,2,2
P50213,7,5,5,3,5,7,5,6,5,6,4,6,5,4,5,4,,6,4,4,8,5,,5,5,5,4,5,5,6,4,5,8,4
P53597,2,,3,4,2,2,4,2,3,,3,2,2,4,,4,2,3,4,3,5,2,,,2,3,2,4,,,3,,2,4
Q86X76,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,2,,
Q02252,5,3,5,6,7,7,5,7,7,9,9,8,8,2,8,6,8,5,4,7,5,8,4,9,11,6,3,9,7,5,10,7,6,4
Q9NWU1,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
P13861,4,,,,3,,,2,,2,3,,3,,2,,,,,,3,2,,3,,,2,,,,2,,,
P09110,2,,,,,,,2,,,,,,,,3,,,,,,,,,,2,,2,,,,,,
P15121,3,5,5,4,4,5,5,2,4,2,4,5,2,4,,3,3,5,9,3,5,2,5,3,4,2,2,4,3,6,4,3,4,4
Q99959,6,4,5,7,7,6,7,9,4,7,5,8,4,7,10,9,7,5,4,9,8,7,5,7,11,6,7,8,8,5,3,7,6,7
P23368,4,3,2,5,6,5,6,7,4,4,6,3,4,3,3,4,2,4,3,3,3,6,3,5,4,4,5,,5,3,4,6,5,
Q9Y697,4,5,4,4,2,3,5,,4,,3,4,,4,,5,4,4,4,4,5,2,,2,2,4,4,6,2,6,3,,2,5
